t_s,wall_time_s,debug_age_s,cmd_age_s,odom_age_s,control_error_age_s,mode,mode_code,raw_valid,cmd_published,lane_state,confidence,fps_est,epsilon_x_mm,e_x_f_mm,e_x_used_mm,theta_raw_rad,theta_f_rad,theta_used_rad,de_x_f,dtheta_f,k_lat_used,k_theta_used,kd_lat,kd_theta,p_lat,p_theta,d_lat,d_theta,v_des,v_ref,v_cmd_internal,cmd_v_topic,odom_v,omega_raw,omega_des,omega_ref,omega_cmd_internal,cmd_omega_topic,odom_omega,omega_limit,curve_confirmed,curve_evidence,center_zone,near_zone,large_error,slow_factor,kappa_m,L_d_m,v_left_est,v_right_est,delta_v_cmd,odom_x,odom_y,odom_yaw,linear_tracking_error,angular_tracking_error
0.4193887710571289,1784883157.1576843,nan,nan,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.327282190322876,1784883158.0655773,nan,nan,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.6663448810577393,1784883158.4046397,nan,6.532669067382812e-05,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07950377420056552,nan,nan,nan,nan,nan,-0.21378601134810413,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.070154905319214,1784883158.8084497,nan,0.40387582778930664,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07950377420056552,nan,nan,nan,nan,nan,-0.21378601134810413,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.406770706176758,1784883159.1450658,nan,0.7404913902282715,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07950377420056552,nan,nan,nan,nan,nan,-0.21378601134810413,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.7545437812805176,1784883159.492839,nan,8.177757263183594e-05,nan,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07950377420056552,nan,nan,nan,nan,nan,-0.21378601134810413,nan,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.0990684032440186,1784883159.8373635,nan,0.3446052074432373,3.6716461181640625e-05,nan,,0,0,0,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07950377420056552,0.07612499594688416,nan,nan,nan,nan,-0.21378601134810413,-0.28369566798210144,nan,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,10.252338409423828,-3.321143627166748,-0.656131455795244,0.0033787782536813665,0.06990965663399731
3.4224603176116943,1784883160.1607556,9.512901306152344e-05,0.6679983139038086,0.32343029975891113,nan,curve_pd,1,1,1,FOLLOW_MAIN,1.0,4.2303922153281315,37.4,37.247682471992384,37.247682471992384,0.27,0.26865289000196485,0.26865289000196485,0.0007243903057046521,0.004770839449058074,0.58,0.72,0.01,0.05,-0.02160365583375558,-0.1934300808014147,-7.243903057046521e-06,-0.00023854197245290373,0.07961800695635289,0.07961800695635289,0.07961800695635289,0.07950377420056552,0.07612499594688416,-0.21527952251068022,-0.21527952251068022,-0.21527952251068022,-0.21527952251068022,-0.21378601134810413,-0.28369566798210144,0.38,1,1.0,0,0,0,0.838084283751083,-0.08011825878678802,nan,0.09414937472582381,0.06508663918688197,-0.029062735538941842,10.252338409423828,-3.321143627166748,-0.656131455795244,0.0033787782536813665,0.06990965663399731
3.868039846420288,1784883160.6063347,6.318092346191406e-05,0.44199681282043457,0.4383828639984131,nan,curve_pd,1,1,1,FOLLOW_MAIN,1.0,10.07272826926129,-21.400000000000002,22.07464977247527,22.07464977247527,-0.153,0.15916888179418046,0.15916888179418046,-0.045106426870167464,-0.25584538199600804,0.58,0.72,0.01,0.05,-0.012803296868035656,-0.11460159489180992,0.00045106426870167467,0.012792269099800403,0.08339548233390741,0.03606202951637938,0.03606202951637938,0.07961800695635289,0.0833749994635582,-0.1141615583913435,-0.1141615583913435,-0.1247685707502806,-0.1247685707502806,-0.21527952251068022,-0.22065217792987823,0.38,1,1.0,0,0,0,0.8778471824621833,-0.7796460723904887,nan,0.04448390804202332,0.02764015099073544,-0.016843757051287878,10.257623672485352,-3.3252127170562744,-0.673783509703425,-0.003756992507205306,0.005372655419198014
4.234563112258911,1784883160.972858,0.3666341304779053,8.368492126464844e-05,0.8049538135528564,nan,curve_pd,1,1,1,FOLLOW_MAIN,1.0,10.07272826926129,-21.400000000000002,22.07464977247527,22.07464977247527,-0.153,0.15916888179418046,0.15916888179418046,-0.045106426870167464,-0.25584538199600804,0.58,0.72,0.01,0.05,-0.012803296868035656,-0.11460159489180992,0.00045106426870167467,0.012792269099800403,0.08339548233390741,0.03606202951637938,0.03606202951637938,0.061572788799763654,0.0833749994635582,-0.1141615583913435,-0.1141615583913435,-0.1247685707502806,-0.1247685707502806,0.13450123804863137,-0.22065217792987823,0.38,1,1.0,0,0,0,0.8778471824621833,-0.7796460723904887,nan,0.04448390804202332,0.02764015099073544,-0.016843757051287878,10.257623672485352,-3.3252127170562744,-0.673783509703425,-0.021802210663794543,0.3551534159785096
